ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
0;-0,0523162968;0,1662543;9,748758
1;-0,05015139;0,164801046;9,752348
2;-0,04798648;0,16189453;9,758808
3;-0,0494297519;0,160441279;9,76670551
4;-0,053037934;0,16189453;9,765269
5;-0,04870812;0,160441279;9,753065
6;-0,0400484838;0,152448386;9,756655
7;-0,0386052132;0,148815259;9,763834
8;-0,04077012;0,149541885;9,749476
9;-0,03211049;0,153901652;9,739426
10;-0,023450857;0,156081527;9,754501
11;-0,020564314;0,151721761;9,763834
12;-0,0111830458;0,153901652;9,753783
13;-0,00757486559;0,1611679;9,754501
14;-0,01406959;0,162621155;9,757373
15;-0,01406959;0,159714654;9,743733
16;-0,0126263173;0,153901652;9,752348
17;-0,01406959;0,153901652;9,773166
18;-0,020564314;0,159714654;9,765269
19;-0,02850231;0,16189453;9,756655
20;-0,0364403054;0,1611679;9,764551
21;-0,0458215736;0,1611679;9,757373
22;-0,05015139;0,1611679;9,74804
23;-0,0508730263;0,1611679;9,754501
24;-0,05592448;0,1611679;9,756655
25;-0,06530575;0,1611679;9,759526
26;-0,06819229;0,1611679;9,762398
27;-0,06530575;0,16189453;9,760244
28;-0,06386247;0,1611679;9,76670551
29;-0,0674706548;0,16189453;9,76670551
30;-0,06530575;0,164801046;9,755219
31;-0,053037934;0,164074421;9,756655
32;-0,044378303;0,16189453;9,758091
33;-0,037883576;0,1553549;9,750194
34;-0,03355376;0,150995135;9,750194
35;-0,02850231;0,1582614;9,756655
36;-0,0227292217;0,162621155;9,755219
37;-0,0220075846;0,1611679;9,748758
38;-0,0176777691;0,16189453;9,753065
39;-0,0119046811;0,1582614;9,756655
40;-0,01046141;0,159714654;9,749476
41;-0,0126263173;0,165527672;9,748758
42;-0,0133479536;0,157534778;9,757373
43;-0,0191210415;0,149541885;9,765987
44;-0,0299455822;0,158988029;9,759526
45;-0,0400484838;0,1611679;9,752348
46;-0,04798648;0,154628277;9,755219
47;-0,05159466;0,156808153;9,755219
48;-0,05881102;0,160441279;9,757373
49;-0,06891392;0,158988029;9,752348
50;-0,07468701;0,1582614;9,747322
51;-0,07829519;0,1582614;9,750912
52;-0,08406828;0,159714654;9,757373
53;-0,09200627;0,159714654;9,759526
54;-0,09705773;0,157534778;9,752348
55;-0,09200627;0,1611679;9,743015
56;-0,0819033757;0,159714654;9,741579
57;-0,0804601;0,153901652;9,753783
58;-0,0804601;0,157534778;9,754501
59;-0,06891392;0,162621155;9,747322
60;-0,05881102;0,162621155;9,76168
61;-0,05520284;0,156081527;9,768141
62;-0,05159466;0,15026851;9,757373
63;-0,0472648442;0,152448386;9,755937
64;-0,0386052132;0,153175026;9,759526
65;-0,0328321271;0,149541885;9,763116
66;-0,0328321271;0,146635383;9,76168
67;-0,0306672174;0,141548991;9,758091
68;-0,0313888527;0,140095741;9,758808
69;-0,0386052132;0,145908758;9,763116
70;-0,04654321;0,151721761;9,763834
71;-0,0450999364;0,158988029;9,749476
72;-0,0472648442;0,160441279;9,75163
73;-0,0595326573;0,157534778;9,764551
74;-0,06891392;0,158988029;9,760244
75;-0,07540865;0,1582614;9,757373
76;-0,0819033757;0,159714654;9,758091
77;-0,0898413658;0,166980922;9,762398
78;-0,0956144556;0,172793925;9,763834
79;-0,09489282;0,17424719;9,753065
80;-0,09344955;0,171340674;9,752348
81;-0,09128464;0,164074421;9,757373
82;-0,08911973;0,160441279;9,756655
83;-0,0811817348;0,16189453;9,758808
84;-0,0725221038;0,156808153;9,76168
85;-0,07685192;0,15026851;9,755219
86;-0,07468701;0,143002257;9,752348
87;-0,0609759279;0,140822366;9,754501
88;-0,05520284;0,143728882;9,752348
89;-0,05736775;0,143728882;9,754501
90;-0,05520284;0,146635383;9,758808
91;-0,04798648;0,145182133;9,758808
92;-0,04654321;0,139369115;9,755937
93;-0,053037934;0,146635383;9,752348
94;-0,05736775;0,148815259;9,753065
95;-0,061697565;0,145908758;9,754501
96;-0,06891392;0,148088634;9,752348
97;-0,07973847;0,15026851;9,749476
98;-0,08334664;0,153175026;9,755937
99;-0,0804601;0,162621155;9,754501
100;-0,09344955;0,170614049;9,749476
101;-0,112212084;0,17352055;9,750194
102;-0,1165419;0,17352055;9,74804
103;-0,115098625;0,1691608;9,752348
104;-0,1165419;0,165527672;9,758091
105;-0,118706807;0,165527672;9,750194
106;-0,113655359;0,164074421;9,750194
107;-0,104995728;0,160441279;9,76096249
108;-0,102109179;0,1611679;9,757373
109;-0,0963361;0,16189453;9,750194
110;-0,08406828;0,156808153;9,76168
111;-0,0811817348;0,149541885;9,765987
112;-0,07757356;0,149541885;9,750194
113;-0,0645841062;0,15026851;9,744451
114;-0,05592448;0,149541885;9,753065
115;-0,05159466;0,149541885;9,757373
116;-0,0508730263;0,15026851;9,755937
117;-0,053037934;0,149541885;9,752348
118;-0,05592448;0,148815259;9,753065
119;-0,0595326573;0,154628277;9,756655
