ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
0;-0,4889061;-0,14837493;9,655434
1;-0,5011739;-0,14837493;9,651126
2;-0,5156066;-0,1476483;9,661895
3;-0,517049849;-0,141835287;9,660459
4;-0,506947;-0,138928786;9,65328
5;-0,4954008;-0,143288538;9,654716
6;-0,486019522;-0,140382037;9,637486
7;-0,476638258;-0,134569019;9,637486
8;-0,4809681;-0,138202161;9,662613
9;-0,49395752;-0,143288538;9,65328
10;-0,5004523;-0,146921679;9,642511
11;-0,501895547;-0,149828181;9,656152
12;-0,494679153;-0,151281431;9,649691
13;-0,478803158;-0,154914558;9,641076
14;-0,4730301;-0,154187933;9,638205
15;-0,475916624;-0,144741789;9,628872
16;-0,478803158;-0,144741789;9,63964
17;-0,488184452;-0,149828181;9,65687
18;-0,483854622;-0,140382037;9,643948
19;-0,4650921;-0,13602227;9,641076
20;-0,4629272;-0,141835287;9,654716
21;-0,460762262;-0,139655411;9,646819
22;-0,4456079;-0,144741789;9,644666
23;-0,4456079;-0,154187933;9,653998
24;-0,4549892;-0,1534613;9,656152
25;-0,4650921;-0,155641183;9,653998
26;-0,479524821;-0,156367809;9,646101
27;-0,478081524;-0,151281431;9,64322948
28;-0,459319;-0,146921679;9,646819
29;-0,441999733;-0,14837493;9,64897251
30;-0,434061736;-0,1505548;9,648254
31;-0,4333401;-0,151281431;9,648254
32;-0,4391132;-0,154187933;9,651126
33;-0,448494464;-0,1534613;9,653998
34;-0,458597362;-0,1505548;9,658305
35;-0,4571541;-0,151281431;9,664766
36;-0,444886267;-0,145468414;9,658305
37;-0,4333401;-0,144015163;9,646101
38;-0,426845372;-0,149101555;9,650409
39;-0,429010272;-0,146195039;9,651126
40;-0,43694827;-0,140382037;9,64897251
41;-0,431896836;-0,138928786;9,654716
42;-0,424680471;-0,138928786;9,649691
43;-0,4254021;-0,139655411;9,64897251
44;-0,41602084;-0,138202161;9,655434
45;-0,4015881;-0,140382037;9,641794
46;-0,398701578;-0,1505548;9,635333
47;-0,4051963;-0,144741789;9,647537
48;-0,4131343;-0,130935892;9,651126
49;-0,426123738;-0,140382037;9,655434
50;-0,431896836;-0,1476483;9,659741
51;-0,41385594;-0,138928786;9,656152
52;-0,396536678;-0,144015163;9,652562
53;-0,392928481;-0,149828181;9,64322948
54;-0,380660683;-0,141835287;9,63318
55;-0,3748876;-0,143288538;9,645383
56;-0,392206848;-0,144741789;9,657587
57;-0,405917943;-0,141835287;9,651126
58;-0,400866479;-0,146195039;9,655434
59;-0,38426885;-0,141835287;9,65687
60;-0,372001052;-0,139655411;9,653998
61;-0,3727227;-0,14837493;9,65687
62;-0,379217416;-0,145468414;9,644666
63;-0,378495753;-0,146195039;9,64322948
64;-0,374165952;-0,154914558;9,654716
65;-0,3691145;-0,145468414;9,651126
66;-0,364063054;-0,145468414;9,651126
67;-0,3568467;-0,1585477;9,658305
68;-0,341692328;-0,149828181;9,654716
69;-0,3287029;-0,142561913;9,644666
70;-0,331589431;-0,154187933;9,63964
