ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
0;-0,302723974;-0,374355733;9,796138
1;-0,313548535;-0,3707226;9,783935
2;-0,321486533;-0,3765356;9,793266
3;-0,320043266;-0,375082344;9,792549
4;-0,3250947;-0,372902483;9,773166
5;-0,3330327;-0,380168736;9,780345
6;-0,3308678;-0,3787155;9,799009
7;-0,3308678;-0,372902483;9,800446
8;-0,3388058;-0,374355733;9,798292
9;-0,339527428;-0,3787155;9,792549
10;-0,336640865;-0,381622;9,790395
11;-0,338084161;-0,383075237;9,800446
12;-0,3409707;-0,380895376;9,799009
13;-0,346022159;-0,377988845;9,790395
14;-0,349630326;-0,380168736;9,788241
15;-0,344578862;-0,382348627;9,790395
16;-0,3409707;-0,381622;9,794703
17;-0,343857229;-0,382348627;9,791831
18;-0,342413962;-0,380895376;9,792549
19;-0,336640865;-0,382348627;9,802599
20;-0,333754331;-0,38888824;9,801881
21;-0,3351976;-0,388161629;9,796138
22;-0,338084161;-0,377262235;9,793266
23;-0,339527428;-0,380168736;9,787523
24;-0,343857229;-0,396154523;9,789678
25;-0,3431356;-0,394701272;9,791831
26;-0,336640865;-0,38888824;9,793984
27;-0,340249062;-0,396881133;9,796856
28;-0,344578862;-0,393974632;9,792549
29;-0,3467438;-0,383801877;9,794703
30;-0,3546818;-0,387435;9,796138
31;-0,3626198;-0,387435;9,788241
32;-0,369836122;-0,381622;9,793266
33;-0,381382316;-0,381622;9,806189
34;-0,384990484;-0,375808984;9,800446
35;-0,384990484;-0,3685427;9,792549
36;-0,395815045;-0,3736291;9,804752
37;-0,410247743;-0,381622;9,811932
38;-0,416742474;-0,375082344;9,806189
39;-0,420350641;-0,369995981;9,801164
40;-0,429010272;-0,377262235;9,791113
41;-0,435505;-0,375082344;9,7889595
42;-0,434783369;-0,3736291;9,800446
43;-0,431896836;-0,3765356;9,797574
44;-0,431896836;-0,375082344;9,793984
45;-0,4412781;-0,3765356;9,808342
46;-0,4470512;-0,369995981;9,809778
47;-0,439834833;-0,3627297;9,796138
48;-0,4391132;-0,372175843;9,798292
49;-0,444886267;-0,380168736;9,799009
50;-0,435505;-0,381622;9,786088
51;-0,426123738;-0,3845285;9,78178
52;-0,429731935;-0,385255128;9,786806
53;-0,429731935;-0,382348627;9,788241
54;-0,424680471;-0,381622;9,783216
55;-0,422515571;-0,382348627;9,78537
56;-0,4210723;-0,381622;9,791831
57;-0,418185741;-0,382348627;9,790395
58;-0,418907374;-0,382348627;9,791831
59;-0,423958838;-0,3787155;9,7889595
60;-0,4311752;-0,377988845;9,787523
61;-0,435505;-0,385255128;9,800446
62;-0,435505;-0,385255128;9,796856
63;-0,437669933;-0,381622;9,786806
64;-0,4412781;-0,388161629;9,798292
65;-0,4456079;-0,394701272;9,801164
66;-0,4549892;-0,391794771;9,793984
67;-0,464370459;-0,386708379;9,80547
68;-0,470143527;-0,383075237;9,806907
69;-0,472308457;-0,381622;9,793984
